award_year,AEROVIRONMENT INC,"ANDURIL INDUSTRIES, INC.","CHAOS INDUSTRIES, INC.","KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC",PALANTIR TECHNOLOGIES INC,"SARONIC TECHNOLOGIES, INC",SHIELD AI INC,SKYDIO
2010,20626003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,109452486.78,1692184.8,0.0,0.0,0.0
2012,108743061.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,2627345.35,0.0,0.0,1409496.1,10360089.709999999,0.0,0.0,0.0
2014,4407151.3100000005,0.0,0.0,5933969.0,209765772.73000002,0.0,0.0,0.0
2015,72867711.79,20000.0,0.0,15413584.11,121331225.52000001,0.0,0.0,0.0
2016,23747395.14,18000.0,0.0,35144817.09,305251551.03,0.0,0.0,0.0
2017,169572935.04,0.0,0.0,10041820.87,84649192.77,0.0,0.0,0.0
2018,92785343.16,7500.0,0.0,27973800.930000003,67398511.44,0.0,500.0,0.0
2019,151110111.51,41963065.6,0.0,10286768.03,115505515.97,0.0,43673.0,90686.0
2020,455900066.33,66803463.42,0.0,2215528.48,313145677.49,0.0,16441509.0,152168.0
2021,70672145.87,78767256.25,0.0,3110465.9,483856621.48,0.0,750410.0,14586254.590000002
2022,435858062.28999996,253984073.69,0.0,15273229.5,342693504.39,0.0,1836772.0,14970095.95
2023,56432804.7,261383883.23,1717503.0,3726416.0300000003,423823727.0,0.0,6132926.53,22782040.04
2024,231379926.89,680834706.72,0.0,5263665.46,781344671.49,0.0,12852079.68,30835884.66
2025,387804751.93,983373033.46,0.0,2189827.2800000003,765416733.27,500.0,18011745.38,43004182.29
2026,0.0,0.0,0.0,0.0,21351457.23,0.0,9234493.94,557789.13
